species,site,year,visit,date,count
hl,CU12A,2014,1,29/03/2014,0
hl,CU12A,2014,2,30/03/2014,0
hl,CU12A,2014,3,8/05/2014,0
hl,CU12A,2014,4,10/05/2014,0
hl,CU12A,2014,5,7/05/2014,0
hl,CU12A,2014,6,9/05/2014,0
hl,CU12A,2015,1,4/09/2015,0
hl,CU12A,2015,2,27/10/2015,0
hl,CU12A,2021,1,9/06/2021,0
hl,CU12A,2021,2,10/06/2021,0
hl,CU12A,2021,3,9/08/2021,0
hl,CU12A,2021,4,16/10/2021,0
hl,CU12A,2021,5,7/05/2021,0
hl,CU12A,2021,6,8/05/2021,0
hl,CU12B,2004,1,5/04/2004,1
hl,CU12B,2004,2,15/10/2004,0
hl,CU12B,2008,1,26/10/2008,0
hl,CU12B,2008,2,27/10/2008,0
hl,CU12B,2009,1,17/01/2009,0
hl,CU12B,2009,2,18/01/2009,0
hl,CU12B,2009,3,1/03/2009,3
hl,CU12B,2009,4,25/06/2009,1
hl,CU12B,2010,1,16/04/2010,0
hl,CU12B,2010,2,29/10/2010,2
hl,CU12B,2010,3,12/04/2010,1
hl,CU12B,2010,4,19/06/2010,1
hl,CU12B,2010,5,19/06/2010,1
hl,CU12B,2011,1,26/11/2011,0
hl,CU12B,2012,1,22/06/2012,0
hl,CU12B,2014,1,28/03/2014,0
hl,CU12B,2014,2,11/04/2014,2
hl,CU12B,2014,3,7/05/2014,0
hl,CU12B,2014,4,7/05/2014,4
hl,CU12B,2014,5,11/05/2014,0
hl,CU12B,2014,6,10/05/2014,4
hl,CU12B,2015,1,5/09/2015,1
hl,CU12B,2015,2,29/10/2015,0
hl,CU12B,2016,1,18/02/2016,0
hl,CU12B,2021,1,3/04/2021,0
hl,CU12B,2021,2,4/04/2021,0
hl,CU12B,2021,3,5/05/2021,0
hl,CU12B,2021,4,6/05/2021,0
hl,CU12B,2021,5,7/05/2021,0
hl,CU12B,2021,6,8/05/2021,0
hl,CU12C,2009,1,18/01/2009,0
hl,CU12C,2009,2,20/01/2009,0
hl,CU12C,2009,3,1/03/2009,0
hl,CU12C,2009,4,26/06/2009,1
hl,CU12C,2010,1,13/04/2010,0
hl,CU12C,2010,2,15/04/2010,0
hl,CU12C,2010,3,17/04/2010,0
hl,CU12C,2010,4,19/05/2010,0
hl,CU12C,2010,5,13/04/2010,0
hl,CU12C,2010,6,19/06/2010,0
hl,CU12C,2012,1,22/06/2012,1
hl,CU12C,2014,1,28/03/2014,0
